id,year,Latitude,Longtitude,location,country,main_descriptor,secondary_descriptor,additional_descriptor,depth,exp_year,soc.value,soc.value_units,labmethod,crop,soil type,average slope,average elevation
96,2008,14.083,121,"Los Baños, Laguna",Philippines,Intervention,Fertilization,With fertilization – 240 kg N/ha,40-60,30,22.5,Mg_ha,CN analyzer,Rice,Mollisol,NA,NA
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Monocrop,20-40,5,22.5,Mg_ha,CN analyzer,Cassava,Oxisol,NA,118
4,2021,-3.806,102.317,Bengkulu City,Indonesia,Land use,Agroforestry,Agroforestry,20-30,NA,22.69430052,Mg_ha,Walkley and Black,Agroforestry,NA,NA,NA
38,2020,13.586,99.506,Rangbua,Thailand,Intervention,Fertilization,With fertilization – 10 Mg biochar/ha,0-30,1,22.702,Mg_ha,Not reported,Rice,Alfisols,NA,NA
43,2021,-1.787,103.271,Province of Jambi,Indonesia,Land use,Perennial,Monocrop,10-30,12,22.8,Mg_ha,CN analyzer,Rubber,Acrisol,NA,NA
77,2017,15.467,103.8,Thung Kula Sub-district,Thailand,Intervention,Fertilization,With fertilization – Rainfed – 73.2 kg N/ha.year + 23.9 kg P/ha.year + 12.3 kg K/ha.year + 1.2 Mg manure/ha.year,0-40,NA,22.8212,Mg_ha,Walkley and Black,Rice,Ultisol,NA,150
63,2017,10.35,106.067,Cai Lay,Vietnam,Land use,Annual,Rotation,10-20,30,22.84974093,Mg_ha,Walkley and Black,"Rice, Cucumber, Tomato, Maize, Chili pepper, Okra, Onion, Mung bean, Sesame",Gleyic Fluvisol,< 1,NA
100,1996,-7,107.5,Sukajadi village,Indonesia,Land use,Agroforestry,Agroforestry,0-5,3,22.9740113,Mg_ha,Walkley and Black,"Agroforestry, Bamboo, Kebun",NA,26.8,NA
8,2022,-4.554,105.404,Lampung,Indonesia,Intervention,Fertilization,With fertilization – 30 t/ha.3 years empty fruit bunches,10-25,27,23,Mg_ha,Walkley and Black,Oil palm,Ultisol (Typic Kandiudults),NA,NA
8,2022,-4.554,105.404,Lampung,Indonesia,Intervention,Fertilization,With fertilization – 90 t/ha.2 years empty fruit bunches,25-55,27,23,Mg_ha,Walkley and Black,Oil palm,Ultisol (Typic Kandiudults),NA,NA
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,3,23.1,Mg_ha,CN analyzer,"Soybean, Millet, Brachiaria ruziziensis, Stylosanthes guianensis, Sorghum, Maize",Oxisol,NA,118
14,2021,19.314,103.492,Viengkham,Laos,Land use,Annual,Rotation,25-40,3.5,23.17982456,Mg_ha,CN analyzer,NA,Acrisols,NA,600
96,2008,14.083,121,"Camarines Sur, Laguna and Nueva Ecija",Philippines,Intervention,Fertilization,With fertilization – 251 kg N/ha + 53 kg P/ha,20-40,30,23.3,Mg_ha,CN analyzer,Rice,"Vertisol, Mollisol",NA,NA
72,2016,10.381,106.117,Cai Lay,Vietnam,Land use,Annual,Rotation,20-30,8,23.5,Mg_ha,Walkley and Black,"Rice, Maize",Fluvisols,NA,2
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,5,23.5,Mg_ha,CN analyzer,"Soybean, Sesame",Oxisol,NA,118
38,2020,13.586,99.506,Rangbua,Thailand,Intervention,Fertilization,With fertilization – 10 Mg biochar/ha + 1.5 Mg compost/ha,0-30,1,23.513,Mg_ha,Not reported,Rice,Alfisols,NA,NA
63,2017,10.35,106.067,Cai Lay,Vietnam,Land use,Annual,Rotation,0-10,5,23.66580311,Mg_ha,Walkley and Black,"Rice, Cucumber, Tomato, Maize, Chili pepper, Okra, Onion, Mung bean, Sesame",Gleyic Fluvisol,< 1,NA
127,2020,4.438,118.049,Tawau City,Malaysia,Land use,Agroforestry,Agroforestry,10-30,27,23.68,Mg_ha,CN analyzer,Agroforestry,Typic Haplodult,NA,385
31,2019,16.038,103.312,Don Wan sub district,Thailand,Land use,Annual,Monocrop,15-30,5,23.688,Mg_ha,Walkley and Black,Cassava,Chakkarat series (Oxyaquic Paleustults),NA,191
8,2022,-4.554,105.404,Lampung,Indonesia,Intervention,Fertilization,With fertilization – 30 t/ha.year empty fruit bunches,10-25,27,24,Mg_ha,Walkley and Black,Oil palm,Ultisol (Typic Kandiudults),NA,NA
8,2022,-4.554,105.404,Lampung,Indonesia,Intervention,Fertilization,With fertilization – 60 t/ha.3 years empty fruit bunches,25-55,27,24,Mg_ha,Walkley and Black,Oil palm,Ultisol (Typic Kandiudults),NA,NA
127,2020,4.438,118.049,Tawau City,Malaysia,Land use,Perennial,Monocrop,10-30,6,24.44,Mg_ha,CN analyzer,Oil palm,Typic Haplodult,NA,385
4,2021,-3.806,102.317,Bengkulu City,Indonesia,Land use,Annual,Rotation,20-30,NA,24.45595855,Mg_ha,Walkley and Black,Seasonal crops,NA,NA,NA
